Recording,Event name,Unit number,Global Pre-event M,Global Pre-event SD,Event M,Event Z-Score,sig,Event windows
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,104,0.9391304347826087,1.4598210522957593,0.75,-0.1295572731227409,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,11,3.1913043478260867,4.4763060317611325,2.7,-0.10975664852672966,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,122,1.434782608695652,3.4713246056740954,1.85,0.1196135304159252,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,125,10.554347826086957,8.245900339002173,6.9,-0.4431714762307163,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,126,43.43913043478261,33.15062120383837,32.15,-0.34054053965889164,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,130,0.6869565217391305,0.9265665220850423,1.05,0.3918158811133354,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,143,10.991304347826087,12.726894257009898,9.7,-0.10146264451870066,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,147,0.3717391304347826,1.1753192061286568,0.6,0.19421180933227317,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,158,3.4,4.478062469222696,5.7,0.5136149876889134,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,189,19.22826086956522,9.69861404360075,18.15,-0.1111767995630951,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,192,7.663043478260869,7.708658561915724,8.05,0.05019764705248103,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,199,47.80869565217391,20.572943672264184,40.05,-0.3771310404467762,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,211,39.028260869565216,36.7938626914603,20.45,-0.5049282546210391,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,223,6.389130434782609,3.010613707540416,6.35,-0.012997494392788628,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,23,2.0847826086956522,3.9247524093221666,1.75,-0.0853003129319619,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,232,8.258695652173913,5.141099361664082,19.55,2.1962820699445293,increase,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,33,22.797826086956523,18.107660991371855,19.7,-0.171078202117469,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,51,5.315217391304348,5.442444599039166,5.0,-0.057918346354871045,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,65,2.4108695652173915,7.215223286215284,1.5,-0.1262427410884999,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,72,5.404347826086957,4.007273632530418,7.15,0.4356209068784606,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,73,15.341304347826087,7.900937646253203,12.6,-0.34695936995858634,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded,98,1.4804347826086957,1.6867926298693252,1.5,0.011599065021300248,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,104,0.9391304347826087,1.4598210522957593,0.75,-0.1295572731227409,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,11,3.1913043478260867,4.4763060317611325,2.5,-0.15443634615707985,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,122,1.434782608695652,3.4713246056740954,0.6,-0.24047955853254063,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,125,10.554347826086957,8.245900339002173,7.45,-0.37647166451960906,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,126,43.43913043478261,33.15062120383837,40.1,-0.10072602906143995,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,130,0.6869565217391305,0.9265665220850423,0.55,-0.14781078149784507,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,143,10.991304347826087,12.726894257009898,8.5,-0.19575116265729103,not sig,40
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,alone_rewarded_baseline,147,0.3717391304347826,1.1753192061286568,0.3,-0.06103799721871446,not sig,40
